Name;Platform;Year_of_Release;Publisher;Global_Sales;Critic_Score;Critic_Count
Halo 3;X360;2007;Microsoft Game Studios;12.12;94;86
Gran Turismo 4;PS2;2004;Sony Computer Entertainment;11.66;89;74
Super Mario Galaxy;Wii;2007;Nintendo;11.35;97;73
Grand Theft Auto IV;X360;2008;Take-Two Interactive;11.01;98;86
Gran Turismo;PS;1997;Sony Computer Entertainment;10.95;96;16
Super Mario 3D Land;3DS;2011;Nintendo;10.81;90;82
Gran Turismo 5;PS3;2010;Sony Computer Entertainment;10.7;84;82
Call of Duty: Modern Warfare 2;PS3;2009;Activision;10.6;94;67
Grand Theft Auto IV;PS3;2008;Take-Two Interactive;10.5;98;64
Call of Duty: Ghosts;X360;2013;Activision;10.25;73;29
Just Dance 3;Wii;2011;Ubisoft;10.12;74;15
New Super Mario Bros. 2;3DS;2012;Nintendo;9.9;78;70
Halo: Reach;X360;2010;Microsoft Game Studios;9.86;91;99
Final Fantasy VII;PS;1997;Sony Computer Entertainment;9.72;92;20
Halo 4;X360;2012;Microsoft Game Studios;9.71;87;87
Gran Turismo 2;PS;1999;Sony Computer Entertainment;9.49;93;23
Just Dance 2;Wii;2010;Ubisoft;9.44;74;24
Call of Duty: Ghosts;PS3;2013;Activision;9.36;71;10
Call of Duty 4: Modern Warfare;X360;2007;Activision;9.31;94;70
Animal Crossing: New Leaf;3DS;2012;Nintendo;9.16;88;70
Mario Party DS;DS;2007;Nintendo;8.91;72;27
The Elder Scrolls V: Skyrim;X360;2011;Bethesda Softworks;8.79;96;89
FIFA 16;PS4;2015;Electronic Arts;8.57;82;42
Halo 2;XB;2004;Microsoft Game Studios;8.49;95;91
Wii Party;Wii;2010;Nintendo;8.38;68;42
Mario Party 8;Wii;2007;Nintendo;8.27;62;41
FIFA Soccer 13;PS3;2012;Electronic Arts;8.16;88;37
Final Fantasy X;PS2;2001;Sony Computer Entertainment;8.05;92;53
The Sims 3;PC;2009;Electronic Arts;8.01;86;75
Final Fantasy VIII;PS;1999;SquareSoft;7.86;90;24
Pokémon Platinum Version;DS;2008;Nintendo;7.72;83;46
Grand Theft Auto: Liberty City Stories;PSP;2005;Take-Two Interactive;7.69;88;65
Call of Duty: Advanced Warfare;PS4;2014;Activision;7.66;83;39
FIFA 17;PS4;2016;Electronic Arts;7.59;85;41
Super Mario Galaxy 2;Wii;2010;Nintendo;7.51;97;87
Call of Duty: World at War;X360;2008;Activision;7.38;84;84
Battlefield 3;X360;2011;Electronic Arts;7.32;84;57
Need for Speed Underground;PS2;2003;Electronic Arts;7.2;85;33
Just Dance;Wii;2009;Ubisoft;7.2;49;21
Battlefield 3;PS3;2011;Electronic Arts;7.17;85;38
Fallout 4;PS4;2015;Bethesda Softworks;7.16;87;58
Tekken 3;PS;1998;Sony Computer Entertainment;7.16;96;15
The Legend of Zelda: Twilight Princess;Wii;2006;Nintendo;7.15;95;73
Crash Bandicoot 3: Warped;PS;1998;Sony Computer Entertainment;7.13;91;12
Mario Kart 8;WiiU;2014;Nintendo;7.09;88;82
Super Smash Bros. Melee;GC;2001;Nintendo;7.07;92;38
Need for Speed Underground 2;PS2;2004;Electronic Arts;6.9;82;39
Medal of Honor: Frontline;PS2;2002;Electronic Arts;6.83;88;29
Just Dance 4;Wii;2012;Ubisoft;6.76;74;10
Gears of War 2;X360;2008;Microsoft Game Studios;6.75;93;90
Uncharted 3: Drake's Deception;PS3;2011;Sony Computer Entertainment;6.74;92;97
Call of Duty 4: Modern Warfare;PS3;2007;Activision;6.68;94;44
Uncharted 2: Among Thieves;PS3;2009;Sony Computer Entertainment;6.66;96;105
Big Brain Academy;DS;2005;Nintendo;6.62;74;45
Red Dead Redemption;PS3;2010;Take-Two Interactive;6.49;95;73
FIFA 14;PS3;2013;Electronic Arts;6.47;86;37
Assassin's Creed III;PS3;2012;Ubisoft;6.45;85;41
Donkey Kong Country Returns;Wii;2010;Nintendo;6.44;87;77
Halo: Combat Evolved;XB;2001;Microsoft Game Studios;6.43;97;68
The Elder Scrolls V: Skyrim;PS3;2011;Bethesda Softworks;6.41;92;16
Pokémon Emerald Version;GBA;2004;Nintendo;6.41;76;28
Kingdom Hearts;PS2;2002;Sony Computer Entertainment;6.4;85;46
Halo 3: ODST;X360;2009;Microsoft Game Studios;6.34;83;94
Red Dead Redemption;X360;2010;Take-Two Interactive;6.32;95;96
Super Mario Sunshine;GC;2002;Nintendo;6.31;92;61
World of Warcraft;PC;2004;Activision;6.29;93;57
Driver;PS;1999;GT Interactive;6.27;87;22
Gears of War 3;X360;2011;Microsoft Game Studios;6.21;91;96
Kinect Sports;X360;2010;Microsoft Game Studios;6.19;73;51
Gears of War;X360;2006;Microsoft Game Studios;6.09;94;88
FIFA 15;PS4;2014;Electronic Arts;6.08;82;47
Metal Gear Solid 2: Sons of Liberty;PS2;2001;Konami Digital Entertainment;6.05;96;42
Metal Gear Solid;PS;1998;Konami Digital Entertainment;6.03;94;20
Metal Gear Solid 4: Guns of the Patriots;PS3;2008;Konami Digital Entertainment;5.99;94;82
Final Fantasy XII;PS2;2006;Square Enix;5.95;92;64
The Last of Us;PS3;2013;Sony Computer Entertainment Europe;5.87;95;98
LittleBigPlanet;PS3;2008;Sony Computer Entertainment;5.82;95;85
Resident Evil 2;PS;1998;Virgin Interactive;5.82;89;13
Dragon Quest IX: Sentinels of the Starry Skies;DS;2009;Nintendo;5.78;87;65
Tekken 2;PS;1996;Sony Computer Entertainment;5.74;89;8
Destiny;PS4;2014;Activision;5.64;76;95
LEGO Star Wars: The Complete Saga;Wii;2007;LucasArts;5.64;80;17
Cooking Mama;DS;2006;505 Games;5.63;67;35
Assassin's Creed II;PS3;2009;Ubisoft;5.55;91;70
Assassin's Creed;X360;2007;Ubisoft;5.54;81;77
Forza Motorsport 3;X360;2009;Microsoft Game Studios;5.49;92;90
Super Mario Advance;GBA;2001;Nintendo;5.49;84;19
Monster Hunter Freedom Unite;PSP;2008;Capcom;5.48;81;48
Batman: Arkham City;PS3;2011;Warner Bros. Interactive Entertainment;5.48;96;42
Grand Theft Auto V;XOne;2014;Take-Two Interactive;5.48;97;14
Mario Kart: Super Circuit;GBA;2001;Nintendo;5.47;93;24
Crash Bandicoot: The Wrath of Cortex;PS2;2001;Universal Interactive;5.42;66;22
Call of Duty: World at War;PS3;2008;Activision;5.39;85;45
Uncharted 4: A Thief's End;PS4;2016;Sony Computer Entertainment;5.38;93;113
Final Fantasy XIII;PS3;2009;Square Enix;5.33;83;83
Final Fantasy IX;PS;2000;SquareSoft;5.3;94;22
Assassin's Creed III;X360;2012;Ubisoft;5.29;84;61
Final Fantasy X-2;PS2;2003;Electronic Arts;5.29;85;45
Call of Duty: Advanced Warfare;XOne;2014;Activision;5.27;81;53
Assassin's Creed II;X360;2009;Ubisoft;5.26;90;82
Tomb Raider II;PS;1997;Eidos Interactive;5.24;85;13
New Super Mario Bros. U;WiiU;2012;Nintendo;5.22;84;70
Dragon Quest VIII: Journey of the Cursed King;PS2;2004;Square Enix;5.21;89;63
Professor Layton and the Curious Village;DS;2007;Nintendo;5.19;85;72
FIFA Soccer 13;X360;2012;Electronic Arts;5.16;90;48
Diablo III;PC;2012;Activision;5.14;88;86
Medal of Honor: Rising Sun;PS2;2003;Electronic Arts;5.13;68;30
Guitar Hero II;PS2;2006;RedOctane;5.12;92;69
Fable III;X360;2010;Microsoft Game Studios;5.1;80;88
Resident Evil 5;PS3;2009;Capcom;5.09;84;76
The Legend of Zelda: Phantom Hourglass;DS;2007;Nintendo;5.08;90;57
FIFA Soccer 11;PS3;2010;Electronic Arts;5.07;89;51
Resident Evil;PS;1996;Virgin Interactive;5.05;91;8
Grand Theft Auto: Vice City Stories;PSP;2006;Take-Two Interactive;5.03;86;50
Tony Hawk's Pro Skater;PS;1999;Activision;5.02;92;18
Guitar Hero III: Legends of Rock;PS2;2007;Activision;4.98;82;24
Link's Crossbow Training;Wii;2007;Nintendo;4.98;68;34
Fallout 3;X360;2008;Bethesda Softworks;4.93;93;84
Uncharted: Drake's Fortune;PS3;2007;Sony Computer Entertainment;4.92;88;66
Madden NFL 06;PS2;2005;Electronic Arts;4.91;88;29
StarCraft II: Wings of Liberty;PC;2010;Activision;4.84;93;82
Assassin's Creed;PS3;2007;Ubisoft;4.82;81;40
God of War III;PS3;2010;Sony Computer Entertainment;4.8;92;101
Crash Team Racing;PS;1999;Sony Computer Entertainment;4.79;88;20
LEGO Star Wars: The Complete Saga;DS;2007;LucasArts;4.76;80;9
Driver 2;PS;2000;Atari;4.73;62;14
Batman: Arkham City;X360;2011;Warner Bros. Interactive Entertainment;4.73;94;87
Tony Hawk's Pro Skater 2;PS;2000;Activision;4.68;98;19
The Lord of the Rings: The Two Towers;PS2;2002;Electronic Arts;4.67;82;32
Tomb Raider;PS;1996;Eidos Interactive;4.63;91;13
Animal Crossing: City Folk;Wii;2008;Nintendo;4.62;73;50
Uncharted: The Nathan Drake Collection;PS4;2015;Sony Computer Entertainment;4.62;86;78
The Legend of Zelda: The Wind Waker;GC;2002;Nintendo;4.6;96;80
Guitar Hero III: Legends of Rock;Wii;2007;Activision;4.6;86;36
Luigi's Mansion: Dark Moon;3DS;2013;Nintendo;4.59;86;74
Forza Motorsport 4;X360;2011;Microsoft Game Studios;4.57;91;83
Madden NFL 2005;PS2;2004;Electronic Arts;4.53;91;30
Guitar Hero III: Legends of Rock;X360;2007;Activision;4.53;85;69
Madden NFL 07;PS2;2006;Electronic Arts;4.49;84;29
Halo 5: Guardians;XOne;2015;Microsoft Game Studios;4.48;84;101
Spider-Man: The Movie;PS2;2002;Activision;4.48;76;25
Call of Duty: Infinite Warfare;PS4;2016;Activision;4.46;77;82
God of War;PS2;2005;Sony Computer Entertainment;4.45;94;75
Splatoon;WiiU;2015;Nintendo;4.43;81;88
Nintendo Land;WiiU;2012;Nintendo;4.42;77;61
Tony Hawk's Pro Skater 3;PS2;2001;Activision;4.41;97;34
Winning Eleven: Pro Evolution Soccer 2007;PS2;2006;Konami Digital Entertainment;4.39;86;19
The Elder Scrolls IV: Oblivion;X360;2006;Take-Two Interactive;4.38;94;90
Need for Speed: Most Wanted;PS2;2005;Electronic Arts;4.37;82;36
Michael Jackson: The Experience;Wii;2010;Ubisoft;4.36;56;37
Resistance: Fall of Man;PS3;2006;Sony Computer Entertainment;4.34;86;70
Kingdom Hearts II;PS2;2005;Square Enix;4.33;87;64
Super Mario 3D World;WiiU;2013;Nintendo;4.32;93;83
Fable II;X360;2008;Microsoft Game Studios;4.27;89;95
Namco Museum;GBA;2001;Namco Bandai Games;4.24;79;10
Batman: Arkham Asylum;PS3;2009;Eidos Interactive;4.23;91;70
Metal Gear Solid 3: Snake Eater;PS2;2004;Konami Digital Entertainment;4.23;91;68
Assassin's Creed: Revelations;PS3;2011;Ubisoft;4.22;80;39
Fallout 4;XOne;2015;Bethesda Softworks;4.22;88;39
FIFA 14;X360;2013;Electronic Arts;4.22;84;41
Daxter;PSP;2006;Sony Computer Entertainment;4.21;85;59
FIFA Soccer 06;PS2;2005;Electronic Arts;4.21;80;32
EyeToy Play;PS2;2003;Sony Computer Entertainment;4.2;80;32
Gran Turismo 5 Prologue;PS3;2007;Sony Computer Entertainment;4.19;80;67
Assassin's Creed: Revelations;X360;2011;Ubisoft;4.19;80;77
Street Fighter IV;PS3;2009;Capcom;4.16;94;61
Madden NFL 2003;PS2;2002;Electronic Arts;4.14;95;25
Half-Life;PC;1997;Vivendi Games;4.12;96;24
World of Warcraft: The Burning Crusade;PC;2007;Activision;4.09;91;46
Battlefield 1;PS4;2016;Electronic Arts;4.08;88;31
God of War II;PS2;2007;Sony Computer Entertainment;4.07;93;70
Fallout: New Vegas;X360;2010;Bethesda Softworks;4.05;84;81
Forza Motorsport 2;X360;2007;Microsoft Game Studios;4.05;90;66
Carnival Games;Wii;2007;Take-Two Interactive;4.05;56;27
Watch Dogs;PS4;2014;Ubisoft;4.05;80;80
Tekken Tag Tournament;PS2;2000;Namco Bandai Games;4.05;85;25
Far Cry 4;PS4;2014;Ubisoft;4.04;85;83
Namco Museum: 50th Anniversary;PS2;2005;Namco Bandai Games;3.98;61;21
Left 4 Dead 2;X360;2009;Electronic Arts;3.97;89;76
The Witcher 3: Wild Hunt;PS4;2015;Namco Bandai Games;3.97;92;79
Assassin's Creed: Unity;PS4;2014;Ubisoft;3.96;70;40
Batman: Arkham Knight;PS4;2015;Warner Bros. Interactive Entertainment;3.95;87;89
The Legend of Zelda: Skyward Sword;Wii;2011;Nintendo;3.95;93;81
Fallout 3;PS3;2008;Bethesda Softworks;3.94;90;57
Professor Layton and the Diabolical Box;DS;2007;Nintendo;3.94;84;65
EA Sports Active;Wii;2009;Electronic Arts;3.9;81;27
Tony Hawk's Underground;PS2;2003;Activision;3.9;90;38
Monster Hunter 4 Ultimate;3DS;2014;Nintendo;3.89;86;80
The Elder Scrolls V: Skyrim;PC;2011;Bethesda Softworks;3.88;94;32
NBA 2K16;PS4;2015;Take-Two Interactive;3.88;87;51
Tekken 5;PS2;2005;Namco Bandai Games;3.87;88;62
MotorStorm;PS3;2006;Sony Computer Entertainment;3.87;84;9
World Soccer Winning Eleven 8 International;PS2;2004;Konami Digital Entertainment;3.85;91;26
Sports Champions;PS3;2010;Sony Computer Entertainment;3.84;76;64
Call of Duty: Ghosts;PS4;2013;Activision;3.83;78;49
Flash Focus: Vision Training in Minutes a Day;DS;2007;Nintendo;3.83;59;22
Tom Clancy's The Division;PS4;2016;Ubisoft;3.8;80;64
Big Brain Academy: Wii Degree;Wii;2007;Nintendo;3.79;68;33
LEGO Indiana Jones: The Original Adventures;X360;2008;Activision;3.76;77;60
The Sims: Unleashed;PC;2002;Electronic Arts;3.76;79;21
Harry Potter and the Sorcerer's Stone;PS;2001;Electronic Arts;3.73;64;11
Super Paper Mario;Wii;2007;Nintendo;3.71;85;56
Spyro: Year of the Dragon;PS;2000;Sony Computer Entertainment;3.71;91;15
Assassin's Creed IV: Black Flag;PS3;2013;Ubisoft;3.71;88;36
FIFA Soccer 2005;PS2;2004;Electronic Arts;3.7;81;27
Tony Hawk's Pro Skater 4;PS2;2002;Activision;3.67;94;27
MySims;DS;2007;Electronic Arts;3.66;67;15
Midnight Club 3: DUB Edition;PSP;2005;Take-Two Interactive;3.65;74;34
SOCOM: U.S. Navy SEALs;PS2;2002;Sony Computer Entertainment;3.65;82;42
Jak and Daxter: The Precursor Legacy;PS2;2001;Sony Computer Entertainment;3.64;90;35
Pro Evolution Soccer 2008;PS2;2007;Konami Digital Entertainment;3.63;82;10
Resident Evil 4;PS2;2005;Capcom;3.62;96;38
Guitar Hero: World Tour;Wii;2008;Activision;3.62;86;18
FIFA Soccer 10;PS3;2009;Electronic Arts;3.62;91;56
Star Wars: Battlefront;PS2;2004;LucasArts;3.61;82;36
The Simpsons: Road Rage;PS2;2001;Electronic Arts;3.61;64;23
Luigi's Mansion;GC;2001;Nintendo;3.6;78;34
Battlefield 4;PS4;2013;Electronic Arts;3.59;85;18
Star Wars: Battlefront II;PS2;2005;LucasArts;3.59;84;30
Cooking Mama 2: Dinner With Friends;DS;2007;505 Games;3.58;70;39
Grand Theft Auto: Liberty City Stories;PS2;2006;Take-Two Interactive;3.54;78;49
The Getaway;PS2;2002;Sony Computer Entertainment;3.54;72;49
James Bond 007: Agent Under Fire;PS2;2001;Electronic Arts;3.53;72;27
FIFA Soccer 11;X360;2010;Electronic Arts;3.52;88;66
Left 4 Dead;X360;2008;Electronic Arts;3.51;89;67
Assassin's Creed: Unity;XOne;2014;Ubisoft;3.5;72;59
Resident Evil 5;X360;2009;Capcom;3.5;83;91
Assassin's Creed: Brotherhood;X360;2010;Ubisoft;3.49;89;81
Battlefield 4;PS3;2013;Electronic Arts;3.49;80;14
Batman: Arkham Asylum;X360;2009;Eidos Interactive;3.48;92;78
Battlefield 4;X360;2013;Electronic Arts;3.48;79;21
Battlefield: Bad Company 2;X360;2010;Electronic Arts;3.47;88;75
Guitar Hero: On Tour;DS;2008;Activision;3.46;71;70
Clubhouse Games;DS;2006;Nintendo;3.45;83;30
Borderlands;X360;2009;Take-Two Interactive;3.44;84;83
Tekken 4;PS2;2002;Namco Bandai Games;3.44;79;23
Grand Theft Auto 2;PS;1998;Take-Two Interactive;3.42;70;15
Metal Gear Solid V: The Phantom Pain;PS4;2015;Konami Digital Entertainment;3.41;93;86
Spider-Man 2;PS2;2004;Activision;3.41;80;50
FIFA Soccer 2003;PS2;2002;Electronic Arts;3.4;88;15
LittleBigPlanet 2;PS3;2011;Sony Computer Entertainment;3.39;91;86
Crash Bash;PS;2000;Sony Computer Entertainment;3.39;68;12
Assassin's Creed Syndicate;PS4;2015;Ubisoft;3.39;76;86
LEGO Batman: The Videogame;X360;2008;Warner Bros. Interactive Entertainment;3.38;76;49
Destiny;XOne;2014;Activision;3.37;75;11
Far Cry 3;PS3;2012;Ubisoft;3.35;90;32
James Bond 007: Nightfire;PS2;2002;Electronic Arts;3.33;77;20
Star Wars Episode III: Revenge of the Sith;PS2;2005;LucasArts;3.32;60;34
The Legend of Zelda: Spirit Tracks;DS;2009;Nintendo;3.31;87;75
Max Payne;PS2;2001;Take-Two Interactive;3.31;80;21
Assassin's Creed IV: Black Flag;X360;2013;Ubisoft;3.3;86;35
The Lord of the Rings: The Return of the King;PS2;2003;Electronic Arts;3.28;85;31
Gears of War: Ultimate Edition;XOne;2015;Microsoft Game Studios;3.28;82;74
True Crime: Streets of LA;PS2;2003;Activision;3.27;77;39
Professor Layton and the Unwound Future;DS;2008;Nintendo;3.26;86;62
FIFA 16;XOne;2015;Electronic Arts;3.25;84;45
Wii Music;Wii;2008;Nintendo;3.25;63;43
Madden NFL 16;PS4;2015;Electronic Arts;3.24;83;37
Gran Turismo 6;PS3;2013;Sony Computer Entertainment;3.23;81;81
Halo: The Master Chief Collection;XOne;2014;Microsoft Game Studios;3.23;85;69
Super Mario Maker;WiiU;2015;Nintendo;3.21;88;85
God of War: Chains of Olympus;PSP;2008;Sony Computer Entertainment;3.18;91;79
Enter the Matrix;PS2;2003;Atari;3.18;62;30
Crisis Core: Final Fantasy VII;PSP;2007;Square Enix;3.18;83;67
Dance Central;X360;2010;MTV Games;3.17;82;63
L.A. Noire;PS3;2011;Take-Two Interactive;3.17;89;78
Ace Combat 04: Shattered Skies;PS2;2001;Sony Computer Entertainment Europe;3.17;89;22
Animal Crossing;GC;2001;Nintendo;3.15;87;42
FIFA Soccer 08;PS2;2007;Electronic Arts;3.14;83;12
Spider-Man;PS;2000;Activision;3.13;87;19
Mario Party 9;Wii;2012;Nintendo;3.13;73;45
Need for Speed III: Hot Pursuit;PS;1998;Electronic Arts;3.12;88;13
Sonic Rush;DS;2005;Sega;3.12;82;43
Rhythm Heaven;DS;2008;Nintendo;3.11;83;48
Fallout: New Vegas;PS3;2010;Bethesda Softworks;3.11;82;57
Personal Trainer: Cooking;DS;2006;Nintendo;3.11;81;12
The Elder Scrolls IV: Oblivion;PS3;2007;Ubisoft;3.1;93;45
The Legend of Zelda: A Link Between Worlds;3DS;2013;Nintendo;3.1;91;81
Resident Evil 6;PS3;2012;Capcom;3.1;74;34
Mass Effect 2;X360;2010;Electronic Arts;3.1;96;98
Dragon Ball Z: Budokai;PS2;2002;Atari;3.09;67;28
Madden NFL 2002;PS2;2001;Electronic Arts;3.08;94;23
The Sims: Vacation;PC;2002;Electronic Arts;3.07;75;18
Animal Crossing: Happy Home Designer;3DS;2015;Nintendo;3.05;66;60
The Sims 4;PC;2014;Electronic Arts;3.05;70;74
Borderlands 2;X360;2012;Take-Two Interactive;3.05;89;59
LEGO Batman: The Videogame;DS;2008;Warner Bros. Interactive Entertainment;3.05;72;16
Kung Fu Panda;X360;2008;Activision;3.04;75;42
Mass Effect 3;X360;2012;Electronic Arts;3.04;93;74
Heavy Rain;PS3;2010;Sony Computer Entertainment;3.03;87;107
